CID,Race,State,HHI,Students,coll_mean,kfr_top01_mean,kfr_top20_mean,lpov_nbh_mean,par_rank_mean,proginc_mean
1045,Asian,Alabama,0.5848053086333334,79.71428571428571,,-0.001319351,0.13065048,0.524445,0.48351035,
1045,Black,Alabama,0.5848053086333334,2057.5,0.22237478,0.000317923,0.046732787,0.21819566,0.31631306,-0.002456049
1045,Hispanic,Alabama,0.5848053086333334,116.42857142857143,0.31516212,1.61034e-05,0.11942923,0.35772523,0.43271682,
1045,Native American,Alabama,0.5848053086333334,14.666666666666666,,-0.002152951,0.077499226,0.071079768,0.44099995,
1045,White,Alabama,0.5848053086333334,4828.785714285715,0.31378478,0.005080441,0.17545043,0.31411704,0.51013565,0.017126478
1047,Asian,Alabama,0.8245031495666667,21.857142857142858,,-0.00325138,0.31197104,0.47217694,0.60375422,
1047,Black,Alabama,0.8245031495666667,7422.857142857143,0.15791839,0.001699374,0.037251096,0.18697187,0.26861647,0.023329174
1047,Hispanic,Alabama,0.8245031495666667,4.714285714285714,,-0.000625738,0.088638172,0.22510158,0.28224841,
1047,Native American,Alabama,0.8245031495666667,1.25,,,,,,
1047,White,Alabama,0.8245031495666667,1855.4285714285713,0.44457868,0.010355977,0.23216353,0.33623728,0.5681265,0.010902611
1049,Asian,Alabama,0.7202994364666666,21.642857142857142,,,,,,
1049,Black,Alabama,0.7202994364666666,219.64285714285714,,0.01536629,0.045125596,0.12723123,0.3009378,
1049,Hispanic,Alabama,0.7202994364666666,205.14285714285714,,0.000426526,0.045225188,0.14132746,0.30293289,
1049,Native American,Alabama,0.7202994364666666,1105.6666666666667,,0.001261075,0.073987171,0.10212447,0.48325065,
1049,White,Alabama,0.7202994364666666,7811.714285714285,0.25926381,0.003258978,0.13540915,0.16191514,0.4375549,0.02227092
1051,Asian,Alabama,0.6151198503666666,32.0,,0.044648167,0.27781719,0.49976948,0.44734675,
1051,Black,Alabama,0.6151198503666666,2699.0714285714284,0.13610259,0.000280146,0.04597621,0.30282685,0.2855413,0.023283269
1051,Hispanic,Alabama,0.6151198503666666,37.357142857142854,,-0.000432255,0.10840855,0.50127017,0.45530975,
1051,Native American,Alabama,0.6151198503666666,6.0,,-0.002158605,0.16765957,0.35081661,0.60572523,
1051,White,Alabama,0.6151198503666666,7042.5,0.3349759,0.003364157,0.18877779,0.42803532,0.55227345,0.003069838
1053,Asian,Alabama,0.5936191903,17.571428571428573,,,,,,
1053,Black,Alabama,0.5936191903,2314.285714285714,0.12975995,0.000260724,0.03160625,0.13320616,0.266265,0.021387782
1053,Hispanic,Alabama,0.5936191903,14.214285714285714,,0.002933395,0.048347671,0.19582531,0.36754662,
1053,Native American,Alabama,0.5936191903,215.25,,-0.000199613,0.20553397,0.11190901,0.34663078,
1053,White,Alabama,0.5936191903,3531.9285714285716,0.31567052,0.007085407,0.19083512,0.21648578,0.49471921,-0.000259712
1055,Asian,Alabama,0.8182953916333333,38.785714285714285,,0.053391408,0.36988553,0.62924063,0.58028013,
1055,Black,Alabama,0.8182953916333333,3124.714285714286,0.20667063,-3.33187e-05,0.038035776,0.15838325,0.3166976,0.012862952
1055,Hispanic,Alabama,0.8182953916333333,115.35714285714286,,0.00181302,0.025824111,0.30146036,0.33644328,
1055,Native American,Alabama,0.8182953916333333,7.5,,,,,,
1055,White,Alabama,0.8182953916333333,12259.42857142857,0.31732479,0.004649548,0.16347362,0.40889105,0.47485575,0.011219297
1057,Asian,Alabama,0.7689585798,2.7857142857142856,,,,,,
1057,Black,Alabama,0.7689585798,478.57142857142856,,0.003929094,0.069838412,0.18835583,0.31243372,
1057,Hispanic,Alabama,0.7689585798,5.714285714285714,,,,,,
1057,Native American,Alabama,0.7689585798,0.4166666666666667,,,,,,
1057,White,Alabama,0.7689585798,2230.285714285714,0.27124783,0.007651422,0.1887843,0.26797628,0.44652668,-0.000526409
1059,Asian,Alabama,0.8763617487,5.214285714285714,,,,,,
1059,Black,Alabama,0.8763617487,270.85714285714283,,0.00104872,0.062699959,0.17999355,0.31948057,
1059,Hispanic,Alabama,0.8763617487,114.28571428571429,,0.001803368,0.020522119,0.13439669,0.22793142,
1059,Native American,Alabama,0.8763617487,2.5833333333333335,,,,,,
1059,White,Alabama,0.8763617487,4705.5,0.29463798,0.003333586,0.17023246,0.17823628,0.46689993,0.031422008
1061,Asian,Alabama,0.6791900791333334,3.4285714285714284,,,,,,
1061,Black,Alabama,0.6791900791333334,707.5714285714286,0.24941058,5.2675e-05,0.04458718,0.1716435,0.23846647,0.034162186
1061,Hispanic,Alabama,0.6791900791333334,39.07142857142857,,0.002851676,0.14379302,0.049045324,0.38091779,
1061,Native American,Alabama,0.6791900791333334,3.3333333333333335,,9.00138e-05,0.012772589,0.21850088,0.36067003,
1061,White,Alabama,0.6791900791333334,3117.4285714285716,0.26134264,0.001937723,0.15646653,0.16000301,0.42587787,0.001258233
1063,Asian,Alabama,0.9937089387,0.0,,,,,,
1063,Black,Alabama,0.9937089387,2032.2857142857142,0.18166533,-0.000272104,0.035466719,0.20316692,0.2563751,0.028407305
1063,Hispanic,Alabama,0.9937089387,0.21428571428571427,,,,,,
1063,Native American,Alabama,0.9937089387,0.4166666666666667,,,,,,
1063,White,Alabama,0.9937089387,6.714285714285714,,0.007168249,0.17829318,0.28777871,0.50932711,
1065,Asian,Alabama,0.7840646957,0.0,,,,,,
1065,Black,Alabama,0.7840646957,2419.714285714286,0.1865375,0.001101596,0.028112415,0.21892525,0.24081165,0.040529914
1065,Hispanic,Alabama,0.7840646957,6.357142857142857,,,,,,
1065,Native American,Alabama,0.7840646957,0.25,,,,,,
1065,White,Alabama,0.7840646957,809.0,0.20449527,0.010783024,0.20367368,0.41350004,0.51667774,0.033711057
1067,Asian,Alabama,0.5250893074,0.5714285714285714,,,,,,
1067,Black,Alabama,0.5250893074,1351.7857142857142,0.20800039,-6.27538e-05,0.042218164,0.12863234,0.2892769,0.059784997
1067,Hispanic,Alabama,0.5250893074,12.5,,-0.001752321,0.13145675,0.10608908,0.32405019,
1067,Native American,Alabama,0.5250893074,0.4166666666666667,,,,,,
1067,White,Alabama,0.5250893074,1320.5,0.24699889,0.002878503,0.17399587,0.20224567,0.53026521,1.32694e-05
1069,Asian,Alabama,0.5457556774,103.0,,0.01697138,0.14349653,0.43963996,0.38601911,
1069,Black,Alabama,0.5457556774,4982.785714285715,0.14883955,0.000923244,0.033685133,0.15374745,0.28544357,0.047194179
1069,Hispanic,Alabama,0.5457556774,48.214285714285715,0.16550156,0.00882788,0.15457764,0.33104026,0.41450408,
1069,Native American,Alabama,0.5457556774,18.083333333333332,,-0.002144339,0.097754627,0.2129527,0.48027292,
1069,White,Alabama,0.5457556774,9080.714285714286,0.34939218,0.00900327,0.20740896,0.29915622,0.56610131,0.01676536
1071,Asian,Alabama,0.7185957232,21.142857142857142,,0.083911829,0.36801437,0.26882315,0.41824344,
1071,Black,Alabama,0.7185957232,412.7142857142857,,0.000425793,0.073624097,0.25353587,0.36696827,
1071,Hispanic,Alabama,0.7185957232,34.57142857142857,,0.005436,0.06473916,0.2698966,0.31985697,
1071,Native American,Alabama,0.7185957232,1093.6666666666667,,0.019460281,0.17205162,0.17339897,0.5012213,
1071,White,Alabama,0.7185957232,7183.571428571428,0.20959254,0.003557189,0.15339708,0.21457723,0.47271118,0.011662698
1073,Asian,Alabama,0.8287716774,623.4285714285714,0.75061065,0.065747261,0.3598415,0.66289371,0.54486424,-0.00213736
1073,Black,Alabama,0.8287716774,49941.07142857143,0.22725038,0.000799371,0.045526888,0.24854608,0.3366892,0.028398722
1073,Hispanic,Alabama,0.8287716774,357.2142857142857,0.30092695,0.008356719,0.13706475,0.39176124,0.45802236,0.03059968
1073,Native American,Alabama,0.8287716774,36.833333333333336,,0.000902537,0.1114189,0.37470776,0.47250813,
